item_id,item_geohash,item_category
312051294,,8270
99999754,,7393
131746128,,7876
385731330,,10544
100004415,,3064
76588345,95qqvei,5411
312053799,,13547
100004955,,7033
312322681,,8376
147117547,,12170
100010037,,7978
76588345,95qqtc0,5411
312055566,,9450
100026807,,12304
312319888,,5533
96406570,95qukdj,5573
100027125,,7033
258563499,,7572
38573090,,7467
10003007,,5827
76588345,95qog7f,5411
385724787,,6648
100036989,,10544
312311833,,2284
385722504,,1032
100039260,,5141
258569838,,4830
312073248,,12630
100039680,,8695
131750358,,6247
312073548,,1242
100039842,,3064
258574659,,6648
3120793,,198
100043619,,5236
258576495,,1169
385719858,,5273
100043706,,2284
258577086,,951
312081249,,1601
100045878,,12553
258577470,,2284
31208155,,4778
100046166,,9614
312307153,,438
312083169,,732
100047537,,3956
258580230,,3321
38571587,,4778
100047966,,10431
76588345,95q61ei,5411
312087981,,7995
100050156,,3064
312305800,,5752
312090018,,12553
100053516,,5706
31230527,9rew7i7,1213
147122413,,7995
100056477,,2284
258582060,,3660
312090237,,8179
100076571,,13547
258583,,8792
312101175,,10431
100085607,,13500
76588345,95q5vnb,5411
83363538,,7850
100085865,,12996
258585795,,3660
312104013,,1169
100090572,,1483
312303745,,3660
96406570,94eg57w,5573
100093275,,12221
258588558,,705
312113352,,10
100093884,,8376
312301675,,8179
312119508,,8234
10009532,,6648
131750571,,6862
312120531,,9086
100095537,,5273
258592575,,8270
312120894,,2284
100097790,,5320
76588345,95q4fml,5411
83362902,,9334
100097970,,9334
312299812,,12326
312126501,,8270
100098348,,3067
97955066,,6648
385712409,,11497
100107081,,8099
76588345,95q11s1,5411
312128742,,13500
100116243,,11406
312297259,,7995
147129310,,3925
100119771,,3368
258597897,,7939
385708371,,3660
100122009,,9569
312292660,,12630
147130825,,7572
100123155,,4864
258598623,,2284
312145683,,7995
100139043,,7572
258602904,,9569
312147459,,11406
100140372,,10582
76588345,95lkiej,5411
385704204,,12630
100140945,,5065
258605412,,3000
312157095,,12067
100142994,,4778
258610992,,9829
147134068,,4008
100148103,,12221
258612822,,4245
110119258,,12630
100150716,,7350
258612873,,9086
312160347,,10364
100156962,,8270
312283639,,11406
312160497,,10120
100162725,,3017
76588345,95lka5u,5411
83355216,,3064
100165614,,8491
258617694,,8678
31216393,,4677
100184934,,10356
258620625,,5141
312164142,,7350
10019003,,8179
31227575,,3397
31216510,,7995
100193664,,3723
76588345,95kf170,5411
147137350,,11991
100195101,,1649
258622536,,12067
312168303,,10431
100204263,,4510
258623082,,3397
312170571,,2252
100207200,,3067
131756967,,94
312171669,,12630
10021223,,3846
312274924,,7995
312175356,,12570
100213938,,13547
312273988,,7619
312179481,,10544
100217847,,9450
312272464,,9017
312182703,,7572
100227075,,8179
258628377,96knva1,1213
385701573,,3660
100231587,,4588
76588345,95fttim,5411
96406570,95quhmn,5573
100250736,,11497
258631851,,5141
312182787,,12538
100251630,,6417
258632058,,5186
312183444,,374
100254048,,3368
312269281,,9569
385700856,,8261
100261644,,11406
131761650,,10063
312184881,,1029
100262481,,4582
312265957,,8094
147144634,,3660
100271766,,150
312264214,9rdm2gf,10120
312187419,,10431
100279566,,7951
258645399,,10431
385696707,,9933
100282068,,4582
312263473,,7390
38569628,,7350
100283421,,3064
312259945,,3660
312187458,,2683
100284261,,4582
258647742,,9569
31219720,,10356
100284432,,11406
312259156,,3956
385695120,,3397
10028570,,10825
2586518,,10349
312202221,,7390
100288155,,11406
76588345,95f75w0,5411
312205815,,3064
100289082,,4008
312256903,,7393
31220611,,4543
100292811,,3064
312254533,,4582
312209844,,3368
100298370,,2284
76588345,95f75kl,5411
14714764,,11376
100303176,,5320
258652713,,6700
385693911,,10431
100303260,,4778
90525898,,12861
38569154,,5446
100308378,,12630
76588345,95f757l,5411
385691466,,3397
10031123,,5273
2586554,,3397
312222906,,12758
100319358,,705
131765151,,94
312227382,,4245
100321389,,4778
312253405,,279
31223077,,3064
10032377,,9614
31225277,,11406
312233622,,7995
100326882,,6648
25865888,,4778
385681992,,4431
100329117,,4245
258659682,,7995
312237474,,12791
100331838,,12791
312247921,,5801
385678713,,4396
100337394,,11406
312245386,,6648
312239397,,3960
1003479,,11406
312244084,,7791
312240930,,10431
100356396,,6648
258661635,,7939
312245208,,12760
100356597,956mfqq,4657
258662799,,7939
312246279,,5273
100356597,956mnlq,4657
312242758,,9569
147149671,,8491
100356597,956mm9h,4657
312240637,,3368
312249687,,8254
100356597,956mrhw,4657
258664635,,2029
385672710,,5533
100356597,956mm1m,4657
312240619,,6648
312253305,,9829
100356597,956mlds,4657
258667563,,8234
31225951,,8270
100356780,,6648
131768367,,4778
312261852,,12553
100357800,,10464
312238345,,7572
312263004,,9618
10036241,,7791
131769027,,5744
147154291,,5065
100365900,,10662
76588345,95bppml,5411
312272568,,5183
100370151,,1169
258671262,,4327
147154414,,7401
100375371,,4830
76588345,956rcai,5411
312277887,,7350
100384119,,6588
258671421,,4582
312278151,,3064
100391703,,3064
258672783,,4778
96406570,94h1t46,5573
100392006,,12221
312233023,,10364
385661472,,8646
100411788,,9017
258675222,,7995
312288603,,150
100413690,,7995
25867559,,8561
312291996,,10544
10041704,,3064
25867604,,7995
312296652,,12275
100417800,,3660
312225115,,6608
110121757,,8179
100424814,,11406
312222478,,3397
312297615,,4778
100426119,,13672
258678753,,9766
312300852,,7390
100428876,,5533
312220072,,10120
385652307,,3064
100428882,,5768
258682062,,279
312302907,,3064
100431723,,6648
258682248,,8646
312303,,2029
100432305,,5351
258682524,,5706
385652280,,3370
100439583,,13547
258687090,,8179
312303369,,13492
100439847,,11991
76588345,956ml51,5411
312304416,,8561
100449456,,10015
312215377,,4156
147163438,,11991
100451625,,10431
312209302,,6247
312309228,,10356
100454313,,3064
312208009,,2284
312309441,,9614
100454727,,4245
258693699,,11406
312313467,,732
100455186,,11406
31220540,,9569
312315099,,3449
100458327,,6700
258695493,,10920
385639722,,12630
100469688,,2284
90524338,,8099
38563877,,7939
10047095,,10085
312204685,,4657
312316203,,3846
100472106,,8243
76588345,956jg62,5411
312316908,,7350
100475910,,13985
31220327,,10582
83348016,,5752
100486614,,11932
258696777,,3660
312317892,,4778
100487211,,1954
258698748,,8561
147165721,,3368
100489101,,6648
131774196,,7995
312318990,,12630
100489479,,10356
76588345,95694cr,5411
385636473,,9205
100505097,,7663
258701382,,1169
312323436,,7350
100507701,,4282
76588345,9567w6n,5411
312328710,,7140
100510620,,8491
31220258,,3064
385636203,,12326
10052189,,12170
312202543,,12407
312329238,,3942
100521999,,3064
25870871,,10431
147169291,,8662
100526643,,13500
76588345,9562ftm,5411
385632798,,12090
100531410,,6986
312201916,,3064
83345637,,11991
100531500,,3064
312198001,,9614
312341037,,11278
100534629,,3064
312196429,,4830
385629651,,2284
100538751,,10431
258713493,,2284
8334560,,5533
100543209,,7401
258716136,,7995
96406570,95quhh9,5573
100551489,,198
31219178,,10120
147170377,,8376
100554489,,3660
258717246,,6456
312356241,,8385
100556481,,7393
258722196,,7995
38562890,,9086
100558386,,10364
76588345,955mv67,5411
385627731,,9017
100560519,,5273
312191182,,5446
312356814,,8561
100562379,,8270
258724302,,7939
312360303,,11406
10056362,,1483
258733644,,8099
14717134,,8234
100570026,,8405
312181585,,10120
312363309,,7393
100571853,,3397
76588345,9556nat,5411
312372051,,6648
100572816,,8099
258736698,,12861
312388635,,1649
100579449,,7572
76588345,9552wsw,5411
312390210,,10576
100585539,,6794
25874366,,11406
96406570,94h6acb,5573
10058768,,4396
131790573,,7876
385622595,,5635
100592754,,1954
258745560,,6417
312397569,,12326
100593597,,6986
131791296,,1963
31239769,,6648
100593612,,7995
312172813,,12090
110127628,,3956
1005945,,12370
258745623,,9614
312402024,,10431
100598790,,732
312172720,,8495
312404469,,6648
100605786,,12090
312171088,,4172
83343444,,7390
100608165,,11492
258750090,,4830
83340348,,7350
100608690,,3537
258753405,,10431
312410967,,4830
1006140,,8561
312170761,,6648
147181453,,5273
100625493,,3064
258755730,,11406
83340339,,3368
100626933,,3660
76588345,9552jgr,5411
385615668,,8792
100635399,,10582
258757524,,7791
312420,,1963
100637232,,7995
312161875,,4830
312420261,,8094
10064414,,3064
76588345,954o1v6,5411
385612443,,7350
100646346,,5320
312159316,,3660
147186250,,6648
100652082,,12326
76588345,954gjd9,5411
312435669,,8099
100655028,,10431
76588345,954aonp,5411
312437670,,10431
100658424,,9614
258766383,,12090
312438366,,9829
100660062,,10120
101403065,,3660
312440940,,7978
100667874,,11991
312156853,,4830
147192496,,8661
100669998,,10544
312145711,,3690
385610118,,9614
100671390,,8270
258768936,,7876
312441627,,3368
100678596,,24
25876895,,3660
312442650,,10544
100684539,,12221
31214159,,8254
312445488,,2284
100687011,,5351
13179223,,10920
312452196,,10501
100687929,,6367
13179304,,10460
385603344,,4778
100690548,,3064
258773163,,9086
312460635,,9569
100692549,,6648
76588345,951ojc5,5411
312464313,,8142
10069361,,6858
258775104,,2163
14719459,,12326
100695813,,5988
312140929,,2225
385601649,,8254
100698810,,3064
258777711,,12375
312471207,,12304
100701198,,9086
312139513,,6631
147198109,,5752
100704000,,7995
258779964,,5932
312472773,,6986
100705917,,4677
312137542,,3956
312473268,,7572
10070900,,11492
76588345,951htuk,5411
385601001,,7572
100713618,,9569
312131176,,8405
31247341,9h02g0h,1213
100719621,,2029
312130456,,7876
83339271,,3483
100720419,,10431
312130414,,6648
312475725,,4588
100726566,,10501
258786234,,12553
312476394,,3064
100730796,,8561
258790086,,3064
312478890,,11991
10073570,,11952
258790839,,5932
3855919,,9086
100739856,,7995
312127084,,7939
312481071,,6417
100740708,,12326
258794454,,12067
96406570,95quhbq,5573
100742688,,12630
258794568,,10735
385591749,,12090
100754481,,2284
31212683,,7663
147204826,,7572
100759116,,2284
76588345,951335n,5411
312484713,,2284
100760280,,6648
258798831,,4245
312492687,,10082
10076825,,10431
312126388,,4533
147209302,,8270
100770579,,8561
258801345,,198
14721067,,6648
100770894,,4561
131796702,,7572
312504234,9qv9esl,7350
100771707,,10501
258801444,,11991
312504306,,10464
100776636,,8270
76588345,950toak,5411
312504375,,6648
100778313,,12090
312125152,,4245
385577139,,11492
10078061,,12158
258809652,,8376
312504918,,9205
100782828,,4830
76588345,950to7m,5411
312507840,,6417
100783035,,10895
258810399,,2284
312509112,,10544
100783824,,8179
312123022,,8685
96406570,94h6c7c,5573
100786863,,8376
312121417,,2284
147224074,,4778
100787148,,9933
258815622,,2284
14722810,,332
100789266,,11406
258815643,,10356
312521454,,8179
100796199,,4588
131796792,,10431
31252393,,3064
100802439,,2284
258819999,,11406
31252696,,7311
100802655,,6648
258823407,,10431
312527145,,6526
100805061,,3925
1317998,,5533
385570647,,7995
100813875,,3660
31211264,,3064
312530826,,12304
100814553,,7971
258826383,,4677
312533547,,3064
100823988,,6750
258826698,,7350
385568259,,4830
100824702,,3064
76588345,9502mc3,5411
312534561,,3321
100836255,,4245
312102277,,11406
385568034,,3960
100838490,,4396
312101350,,6648
83327310,,4008
10083860,,5065
258827499,,7572
312539607,,3064
100840113,,13500
76588345,94ref2w,5411
312539907,,2929
100845123,,3064
312100486,,8561
312542655,,8661
100849974,,5351
312098242,,10015
110131303,,12996
1008549,,3064
312097339,,1963
312546099,,6417
100855113,,8501
258830880,,9614
312546309,,3064
100859121,,6272
312094213,,11406
312547308,,3660
100860711,,8094
312093529,,11406
31255741,,9017
100862010,,6648
312093205,,2683
31255771,,1954
100875312,,4008
25883780,,12067
312563115,,7876
100878708,,7619
131800593,,4553
385556991,,3942
100883724,,10662
312088162,,6648
14723749,,12630
100884720,,4830
258837837,,6632
312566214,,7850
10090157,,1213
25884377,,10431
312566994,,5480
100905798,,10120
1082237,,7174
31256899,,7876
100905855,,5273
312083989,,4830
312570837,,9614
100912548,,10431
258848319,,8270
312571770,,3017
1009131,,5533
258849819,,3723
147240649,,4245
100913547,,12158
312079054,,10431
38555144,,9569
100913931,,7850
312078343,,8605
312574008,,13500
1009140,,3956
258851808,,12304
312579645,,9086
10091714,,13547
258857781,,1278
312583668,,11039
100917546,,7876
258861234,,3064
312584073,,3397
100921338,,7939
312047242,,7995
312584271,,7939
100922232,,7791
25886474,,6648
312585021,,10137
100923561,,4830
76588345,94re5li,5411
31260115,,3660
100928046,,12326
258868071,,6648
385546155,,12536
100928058,,8444
76588345,94nv95m,5411
147243844,,1649
100928115,,8270
258872631,,7393
312603669,,4245
100929444,,3660
312044179,,5153
312604611,,11406
100936707,,11406
312044125,,9614
312605001,,2225
100937943,,7995
312043156,,12221
312607935,,13284
100951257,,10356
258875493,,4431
110133223,,7995
100951863,9h03u0r,1213
13180513,,2443
147243994,,12553
100956606,,12630
312039742,,438
312624057,,9334
100958256,,8270
258878988,,5533
385541460,,3064
100961073,,9086
76588345,94n19r9,5411
385539795,,4778
10096517,,3537
312037531,,3064
312630624,,3368
100970811,9h030hc,10012
258884715,,8270
312631536,,10431
10098428,,7939
131805321,,10431
312633843,,8561
100986768,,5879
312036922,,8270
312636933,,7140
100989804,,1242
258885519,,5930
312637299,,8270
100992654,,8792
312036097,,9569
312639588,,7737
100996386,,3368
131810115,,8710
312645417,,6417
101000517,,12553
312034393,,3064
147244786,,2225
101001108,,3660
312033214,,6648
312651498,,7390
101001264,,8270
25889711,,3064
312652476,,10464
101001582,,6648
258897162,,4245
385535682,,8661
101008599,,7876
312031153,,4561
312656265,,10431
10101023,,11406
76588345,94loltb,5411
31265881,,2284
101010405,,6648
312028453,,6648
312661863,,7876
101018409,,7350
258898110,,12096
110134180,,7311
101023848,,6648
76588345,94l9dc0,5411
312662373,,10431
101028390,,6643
312024118,,4230
312665172,,3000
10104485,,4864
258909801,,8646
312673497,,5635
101049744,,4008
312023026,,9614
312673809,,8099
101050866,,12630
312020002,,12090
83325597,,9086
101051280,,5273
312019162,,6648
312675831,,12067
101053128,,9569
258913689,,12090
312677814,,10431
101053986,,7239
258915213,,10582
312679767,,7995
101054322,,5055
312018016,,4830
312681723,,13547
101055324,,7995
312017308,,10085
312686535,,8124
101068803,,12170
258917454,,8179
83320899,,8646
101070912,,4245
258918573,,6631
31268848,,4008
101071269,,732
312017137,,12304
147253282,,3660
101076462,,6417
76588345,94jrmkm,5411
312695166,,6648
101081211,,7995
312016138,,4245
312697983,,3660
101084634,,1599
258919923,,12090
312700905,,6643
101096343,,11991
312013768,,9155
385525929,,13374
101098293,,11406
312012895,,11406
312701850,,12370
10109912,,10412
312010888,,12732
31270198,,6648
101099388,,12067
312006739,,150
385522710,,11406
101103153,,6794
76588345,94jrmjr,5411
312710796,,9618
10110809,,9614
312005599,,3064
312713979,,13500
101108181,,10431
258927825,,7572
312714978,,9334
10111133,,12630
131811981,,10431
312717468,,10582
101114316,,10431
258934821,,12067
385519617,,9614
101117241,,10431
76588345,94h6gjm,5411
83320164,,11406
101120949,,362
312001483,,12067
31272040,,9618
101125419,,3064
258938103,,9614
312723807,,11406
101127024,,3368
76588345,94h6gaf,5411
147257887,99nfcke,9031
101128893,,7939
312001219,,10290
312726069,9rgnppm,1213
101130987,,4599
258943068,,8270
147257887,99ct213,9031
101132571,,7791
258943287,,7791
312731109,,5233
101135367,,4245
311991114,,6648
147257887,99ctrbd,9031
101140512,,8487
258943665,,1169
147257887,99ct2gl,9031
101144253,,13500
258944037,,10431
147257887,99ctq3e,9031
101146401,,7995
90509917,,24
147257887,99ct77w,9031
101156748,,7876
258944124,,7233
147257887,99ctep9,9031
101161356,,3064
25894448,,7350
147257887,99nfeg9,9031
101167941,,3064
311988945,,3846
385515045,,12090
101169231,,11991
258946038,,7995
147257887,99ctwco,9031
101169681,,6367
76588345,94fr1uk,5411
147257887,99nfcjt,9031
101171067,,8179
311980431,,11492
3127459,,12630
101173929,,2284
258946383,,3660
385508676,,8646
101178549,,9569
258946761,946jqve,5678
312748476,,5273
101188461,,9569
311978877,,10364
385508298,,12536
101193945,,6648
258951723,,6526
147257887,99ct2hd,9031
101196792,,3960
311976360,,3064
312756867,,12570
101197842,,7619
258957141,,8561
147257887,99nfkfb,9031
101199171,,4830
258959442,,9829
385505112,,2284
101208078,,6648
76588345,94ebrie,5411
312758124,,12067
101208567,,836
258959487,,10431
312763839,,4533
101211075,,10290
258962232,,11991
312763887,,12221
101212086,,13500
76588345,94e1ei3,5411
147257887,99ct7j7,9031
101220102,,332
311972364,,2284
312764166,,8491
101220363,,3064
258963366,,10699
147257887,99ctjnw,9031
101223894,,7393
311968479,,11376
312766572,,13374
101234529,,8099
108228162,,3925
147257887,99ctoil,9031
101240427,,12630
258964806,,10015
385504812,,6648
101240823,,11406
76588345,94dkvpt,5411
312766941,,3064
10124231,,6367
258966162,,732
147257887,99ct727,9031
101244510,,10431
10823077,,7876
147257887,99ctlbs,9031
10124576,,1169
